ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"#\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Learning Name\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_2\" Title=\"Learning Name\" Type=\"Text\" ID=\"{aea6c7d6-1d6a-4edf-82e2-8cf8cfad5534}\" StaticName=\"field_2\" />","<Field ID=\"{a7506883-8091-4635-9178-13d167e2aeb0}\" DisplayName=\"Description\" Name=\"field_3\" StaticName=\"field_3\" Type=\"Note\" />","<Field Name=\"field_4\" FromBaseType=\"FALSE\" Type=\"Note\" DisplayName=\"Technical area\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" NumLines=\"6\" RichText=\"FALSE\" RichTextMode=\"Compatible\" IsolateStyles=\"FALSE\" Sortable=\"FALSE\" ID=\"{e7c9fc25-c38a-4d3d-bee9-143aed15d130}\" StaticName=\"field_4\" CustomFormatter=\"\" RestrictedMode=\"TRUE\" AppendOnly=\"FALSE\" />","<Field ID=\"{de21ec7b-8588-40a0-ada8-2c38c997d2e1}\" DisplayName=\"Owner\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{2f4a96de-a845-4eac-b335-740141496112}\" DisplayName=\"Contact details\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{6d44ea99-4442-4b6b-b28a-703467e1b3a2}\" DisplayName=\"Developer\" Name=\"field_7\" StaticName=\"field_7\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Focus area\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_8\" Title=\"Focus area\" Type=\"Text\" ID=\"{d907a78f-13a2-4dbd-af10-3d4487a4c90f}\" StaticName=\"field_8\" />","<Field Name=\"field_9\" FromBaseType=\"FALSE\" Type=\"Note\" DisplayName=\"Language\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" NumLines=\"6\" RichText=\"FALSE\" Sortable=\"FALSE\" ID=\"{d9cfd906-fe29-40bc-9400-30ea31069f05}\" StaticName=\"field_9\" CustomFormatter=\"\" RestrictedMode=\"TRUE\" RichTextMode=\"Compatible\" IsolateStyles=\"FALSE\" AppendOnly=\"FALSE\" />","<Field ID=\"{c0f0cebd-376a-4119-98b1-d8330f556530}\" DisplayName=\"Platform\" Name=\"field_10\" StaticName=\"field_10\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{1e4a6821-0a93-4b1c-ab3a-52b83511cf2f}\" DisplayName=\"Intended audience\" Name=\"field_11\" StaticName=\"field_11\" Type=\"Text\" />","<Field ID=\"{073ebc50-46aa-48c2-8a3a-8957ddb1cd88}\" DisplayName=\"Modality\" Name=\"field_12\" StaticName=\"field_12\" Type=\"Note\" />","<Field ID=\"{b0666b1b-5863-4129-804a-b6bfd5db3222}\" DisplayName=\"Link\" Name=\"field_14\" StaticName=\"field_14\" Type=\"Note\" />","<Field ID=\"{542498ca-5bdf-4c3e-be33-0d4281b00310}\" DisplayName=\"Identified Gaps/ Deficiences\" Name=\"field_15\" StaticName=\"field_15\" Type=\"Text\" />","<Field ID=\"{02fd8d72-5973-4837-98eb-ecd0034359c8}\" DisplayName=\"Contributor\" Name=\"field_16\" StaticName=\"field_16\" Type=\"Number\" />","<Field ID=\"{faae5f17-c321-4c0c-a365-a29989adc941}\" DisplayName=\"Comment\" Name=\"field_17\" StaticName=\"field_17\" Type=\"Text\" />","<Field Type=\"Text\" DisplayName=\"Sign-off status\" Title=\"Sign-off status\" StaticName=\"_Flow_SignoffStatus\" ID=\"{81c5d389-440b-4b96-9e55-1bb152b9f45b}\" Name=\"_x0024_Resources_x003a_core_x002\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Number\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Learning Name","Description","Technical area","Focus area","Intended audience","Owner","Developer","Contact details","Language","Modality","Platform","Link","Comment","Sign-off status"
"IPC to combat AMR in health care settings: trainer guide","This course is designed to support implementation of the WHO guidelines on core components of infection prevention 
and control programmes at the national and acute health care facility level and guidelines for the prevention and control of carbapenem-resistant Enterobacteriaceae, Acinetobacter baumannii and Pseudomonas aeruginosa in health care facilities.It introduces recommended best practices and a multimodal approach for successful implementation and improvement.","Infection prevention and control (IPC) & safe environment in health facilities","AMR","IPC leads and staffs in health care settings","WHO","HQ/UHC/HIS/IPC","coutinhoa@who.int","English","Training toolkits and packages","Webpage","https://www.who.int/teams/integrated-health-services/infection-prevention-control/ipc-and-antimicrobial-resistance",,
"Clinical management of respiratory diphtheria","This course is for clinicians that will be or are caring for patients with respiratory diphtheria during outbreaks in vulnerable settings","Infection prevention and control (IPC) & safe environment in health facilities","IPC","WHO staff/MoH/HCPs","WHO","HQ/WHE/IPC","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/media/Diphtheria%20Module%204%3A%20Infection%20Prevention%20and%20Control%20(IPC)/0_jqyyet8x/536512",,
"Measles outbreak training","All health workers deployed to measles outbreaks must complete the measles and rubella (MR) training to implement quality interventions and work safely and effectively in the field. This course provides the essential preparedness, detection, investigation, response, and recovery skills required to contain the measles outbreak.","Health emergency preparedness and response management","Measles","WHO staff/MoH/HCPs","WHO","HQ/WHE","WHEtraining@who.int","English, Spanish, Ukrainian","Online","OpenWHO","https://openwho.org/playlist/dedicated/542027/0_ad0vqtxk/0_mzwkn3v5",,
"Water and Sanitation for Health Facility Improvement Tool (WASH FIT) for improved quality of care","The WHO/UNICEF Water and Sanitation for Health Facility Improvement Tool (WASH FIT) helps facilities to assess, manage and improve these critical services. This course covers the foundational concepts of WASH FIT, the methodology and examples of its application from a wide range of settings. It also includes six technical modules on water, sanitation, hand hygiene, health care waste, environmental cleaning and gender equality, disability and social inclusion (GEDSI).","Health emergency preparedness and response management","WASH","National Health and WASH Sector Leaders/Local and District Health Authorities/Health Facility Managers and Staff","WHO/UNICEF","HQ/HEP/ECH/WSH","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0046EN+H0046EN_Q4_2024?from=discovery&source=edX",,
"My Five Moments of Hands Hygiene","Play an ‘out-of-this world’ game with a serious objective: to prevent healthcare-associated infections. The game, developed in collaboration with the WHO Infection Prevention and Control Hub as part of WHO’s ‘Healthcare without avoidable infections’ initiative, is based on the WHO Guidelines on Hand Hygiene in Health Care and aims to target two infectious outcomes – microbial cross-transmission and healthcare-associated infections.","Infection prevention and control (IPC) & safe environment in health facilities","IPC","Clinical health professionals/Students in healthcare education","WHO","HQ/UHC/HIS/IPC","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOA+0018_MFM_EN+2022?from=discovery&source=edX",,
"Antimicrobial Resistance in the environment: key concepts and interventions","The environmental dimensions of AMR are often neglected in national action plans and investments on AMR. In this course, you will learn why addressing AMR in the environment is essential and gain insights into how action can be taken to prevent and control AMR in the environment at the national level.","Health emergency preparedness and response management","AMR","WHO staff/MoH/HCPs","WHO","HQ/AMR","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0049EN+H0049EN_Q4_2024?from=discovery&source=edX",,
"Standard precautions: Waste management","In this course, you will learn about the different categories of waste and the process for waste management. Health care waste includes all waste generated by health, research and laboratory facilities in the course of providing health care services. Health care waste in a facility should be managed from point of generation to final disposal and removal.","Infection prevention and control (IPC) & safe environment in health facilities","Waste management","Healthcare professionals","WHO","HQ/UHC/HIS/IPC","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0109EN+2025_Q1?source=edX",,
"Standard precautions: Hand hygiene","This course has been prepared to help summarize the WHO guidelines on hand hygiene, associated tools and ideas for effective implementation.","Infection prevention and control (IPC) & safe environment in health facilities","IPC","Healthcare professionals","WHO","HQ/UHC/HIS/IPC","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0108EN+2025_Q1?source=edX",,
"Decontamination and sterilization of medical devices","The processes of sterilization and decontamination are complex, requiring specific infrastructure, equipment and process. In this course, which is divided into two parts, you will learn about the overall procedure for managing decontamination and sterilization of medical devices.","Infection prevention and control (IPC) & safe environment in health facilities","IPC","Healthcare professionals","WHO","HQ/UHC/HIS/IPC","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0110EN+2025_Q1",,
"Transmission-based Precautions","This course will cover the main modes of transmission, what precautions can be used stop their spread and what personal protective equipment is required when caring for patients under Transmission-based Precautions. Transmission-based Precautions are additional measures we can use in health care to help keep both staff and patients safe.","Infection prevention and control (IPC) & safe environment in health facilities","IPC","Healthcare professionals","WHO","HQ/UHC/HIS/IPC","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0114EN+2025_Q1",,
"Ready4Response Tier 3: Activation process","Tier 3 guides the learner through the activation process for the response. It aims to help MoH staff who will be working as part of a response, to build skills and reflect on the processes they use to build situational awareness and manage the response.   ","Health emergency preparedness and response management
","Emergency Response","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/494536/0_aylkqv61/0_o9y26qzb",,
"Infection Prevention and Control in Maternal and Neonatal Care","The course is divided into 6 modules. The first module covers the essential knowledge of standard precautions required for good infection prevention and control. The other five modules develop this knowledge and apply it clinically to common situations in antenatal care, labour, childbirth and neonatal care.","Infection prevention and control (IPC) & safe environment in health facilities","IPC","Staff working in maternal and neonatal wards","WHO","HQ/UHC/HIS/IPC","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0100EN_Q4_2024+2024_Q4?from=discovery&source=edX",,
"Prevention of vascular catheters-associated bloodstream infections","In this course, you will learn more about these specific types of infections, recommended best practices for insertion, maintenance, and removal and ways to achieve effective implementation for prevention.","Infection prevention and control (IPC) & safe environment in health facilities","IPC ","Healthcare professionals","WHO","HQ/UHC/HIS/IPC","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0099EN+H0099EN_Q4_2024",,
"Antimicrobial resistance and infection prevention and control","This course will equip clinicians who frequently prescribe antimicrobials with knowledge and tools to improve their use of these essential medications in daily clinical practice. Through case based examples, the course will highlight how antimicrobial stewardship principles can be applied to common clinical scenarios.","Infection prevention and control (IPC) & safe environment in health facilities","IPC","Clinicians","WHO","HQ/UHC/HIS/IPC","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0098EN+H0098EN_Q4_2024?from=discovery&source=edX",,
"Public Health Emergency Operations Centre (PHEOC)","This online course is designed as a companion to WHO’s Framework for a Public Health Emergency Operations Centre and is aimed at health emergency preparedness and response professionals, policy makers and partners seeking to implement and sustain Public Health Emergency Operations Centres. ","Health emergency preparedness and response management
","PHEOC","WHO staff/MoH/","WHO","HQ/WHE/SHO","WHEtraining@who.int","Chinese, English, French, Macedonian, Portuguese, Spanish, Russian, Ukrainian, ","Online","OpenWHO","https://openwho.org/emergencymgmt/577192/Public+Health+Emergency+Operations+Centre",,
"Module 1: Introduction to vSHOC","This course provides an understanding of vSHOC and its relation to other WHO emergency management software. You will learn what information vSHOC contains and become familiar with its use, including accessing basic operational response information, recording and assigning tasks, creating or updating a focal points list, updating your contact profile, and managing emergency-related documents.","Health emergency preparedness and response management","vSHOC","WHO staff/MoH","WHO","HQ/WHE/SHO",,"English","Online","iLearn","https://who.csod.com/ui/lms-learning-details/app/course/4b567b8d-b6b8-4fd7-abdd-5365dab37ea2 ",,
"Module 2: vSHOC Training for Advanced Users","This module is intended for advanced vSHOC users who have completed the basic training. This module will teach how to manage users, register an incident, manage reference data, add and manage data sets and map layers. ","Health emergency preparedness and response management","vSHOC","WHO staff/MoH","WHO","HQ/WHE/SHO",,"English","Online","iLearn","https://who.csod.com/ui/lms-learning-details/app/course/3fec7503-ee30-4804-9d43-0d7db8ed4155",,
"Module 3: vSHOC Emergency Human Resources","By the end of this training module, the trainee should be able to manage incident specific locations reference data, view and manage Human Resource Plans and manage incident specific functions and roles
","Health emergency preparedness and response management","vSHOC","WHO staff/MoH","WHO","HQ/WHE/SHO",,"English","Online","iLearn","https://who.csod.com/ui/lms-learning-details/app/course/5a7d5d19-5427-4456-b009-6b93d2636cba",,
"Introduction to Event Management System (EMS)","This training module is intended for WHO staff who need to use the Event Management System (EMS) in their work. It provides an overview of the EMS. The module is mandatory to take and pass in order to get an access to the EMS platform. ","Health emergency preparedness and response management","Event management system","WHO staff","WHO ","HQ/WHE/SHO",,"English","Online","iLearn","https://who.csod.com/ui/lms-learning-details/app/course/e5194f52-4d3f-4e71-9e86-26b788709135",,
"Data procedures in Event Management System (EMS)","This training module is intended for WHO staff that will be using the Event Management System (EMS) for data entry and updating. To perform these activities in the EMS it is mandatory to take and pass this module.  Prior to taking this module you must pass the prerequisite training “Introduction to EMS”","Health emergency preparedness and response management","Event management system","WHO staff","WHO ","HQ/WHE/SHO",,"English","Online","iLearn","https://who.csod.com/ui/lms-learning-details/app/course/3475ee5f-244e-438f-98d1-b1d5644e4800",,
"EWARS in a box: electronic early warning, alert and response system implementation in emergencies","EWARS in a box, WHO's electronic early warning, alert, and response system in emergencies, helps detect disease outbreaks early in emergency, fragile, conflict and vulnerable settings. It supports real-time mobile reporting from the most difficult and remote field settings with or without reliable internet or electricity. The web interface helps local epidemiologists and surveillance officers with interactive alert management, data analysis and visualization. ","Surveillance","EWARS","Epidemiologists, surveillance officers and frontline responders in emergencies","WHO","HQ/WHE/HEI","ewars@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/541847/0_zsd05l6v/0_och981pp",,
"PHEOC Virtual TableTop Exercsie","This course will be made available upon request from WHO CO to euroeoc@who.int and accordingly briefing to run the training and the link will be provided.","Health emergency preparedness and response management","PHEOC","Member States and COs","WHO","EU/RGO/WHE/EMO","euroeoc@who.int","English, Russian, Arabic","Blended",,,,
"Virtual Course on Evaluation of Health Facilities using the Hospital Safety Index (HSIv2)","The completion of the course modules will allow the following objectives to be achieved: i) Recognize the elements of a health facility that are evaluated by the Hospital Safety Index. ii) Identify the hazards that put the security of a hospital at risk. iii) Use a standardized qualification of structural and non-structural aspects for the calculation of the hospital safety index. iv)Identify the necessary elements for emergency and disaster management. v) Systematize the procedure for hospital evaluation and analysis of the results.","Health emergency preparedness and response management","Hospital safety index","Health care workers/Other profession supporting health (engineer, architects, specialist in electrical and mechanical equipment, logistics)","WHO","PAHO/Virtual campus for public health ","https://campus.paho.org/en/contact","English","Online","Virtual campus for public health","https://campus.paho.org/en/course/health-facilities-assessment-using-hospital-safety-index",,
"WHO Simulation Exercise management training course","This face-to-face training is based on the WHO Simulation Exercise Manual and will provide the learners with the overview of the different simulation exercise tools and guidelines developed and used by WHO","Research & monitoring and evaluation","Simulation","Member states/ MoH/WHO staff","WHO","EURO/WHE/CPI","esengulova@who.int","English, Russian","In-person",,,,
"WHO IAR&AAR management course","This course has been designed to introduce the learners to the knowledge and skills needed for a successful management and facilitation of an Intra Action Review (IAAR) and an After Action Review (AAR)","Research & monitoring and evaluation","IAR/AAR","Member states/ MoH/WHO staff","WHO","EURO/WHE/CPI","esengulova@who.int","English, Russian","In-person",,,,
"Strategic Risk Assessment training for National and Subnational Facilitators using the WHO STAR tool kit","This face-to-face 3 day training is based on the WHO Strategic Tool Kit for Assessing Risk (STAR) and will provide participants with the methodology and the steps to conduct an all-hazards Strategic Risk Assessment at national or subnational level. ","Health emergency preparedness and response management","Strategic risk assessment","Member states/ MoH/WHO staff","WHO","EURO/WHE/CPI","cmansilla@who.int","English","In-person",,,,
"Hospital Safety Index (HSI) Training","This training familiarizes participants with the Hospital Safety Index (HSI) tool and its components, and how to use the tool to obtain a final HSI and specific indexes for structural safety, 
non-structural safety, and emergency and disaster management. The training will combine classroom theory with hands-on practice in a real hospital setting.","Health services provision","Hospital Preparedness","Health Facility Managers and Staff","WHO","EURO/WHE/CPI","llloydbraff@who.int","English","In-person",,,,
"Mass Casualty Management Planning Workshop","This course equips participants with the knowledge and skills to effectively manage mass casualty incidents. ","Health services provision","Hospital Preparedness","Health Facility Managers and Staff","WHO","EURO/WHE/CPI","llloydbraff@who.int","English","In-person",,,,
"Hospital Emergency Response Planning Workshop","The aim of the training is to provide information and guidance to develop or revise Emergency Response Plans for hospitals (H-ERPs) in WHO Member States. ","Health services provision","Hospital Preparedness","Health Facility Managers and Staff","WHO","EURO/WHE/CPI","llloydbraff@who.int","English","In-person",,,,
"NAPHS Training workshop","This training will support participants to reinforce the importance of developing annual operational plans that address current priorities and risks with detailed and tangible activities, and understand the interlinkage of NAPHS components in building capacities for countries to prevent, detect and respond to public health emergencies.
","Health emergency preparedness and response management","NAPHS","Member states/ MoH/WHO staff","WHO","EURO/WHE/CPI","eurocme@who.int","English","In-person",,,,
"Introduction to PoE requirements under the IHR ","This course provides an overview of Points of Entry (PoE) requirements under the International Health Regulations (IHR), focusing on key obligations, risk management, and compliance strategies. * ""The training will need to be updated to align with the IHR amendments when they enter into force"" ","Points of entry (PoEs) and border health","IHR","Member states/ MoH/WHO staff","WHO","EURO/WHE/CPI","schmidtt@who.int","English, Russian","In-person",,,,
"Assessment of core IHR public health capacities at PoE ","The trianing will provide knowledge and skills to conduct assessment in line with the IHR annex 1 provisions at airports, ports and ground crossings, including those for the early detection, reporting and management of public health events. * ""The training will need to be updated to align with the IHR amendments when they enter into force"" ","Points of entry (PoEs) and border health","IHR","Member states/ MoH/WHO staff","WHO","EURO/WHE/CPI","schmidtt@who.int","English, Russian","In-person",,,,
"Ship sanitation for the early detection, reporting and management of public health events particularly on board ships","A train-the-trainers programme for global professionals with significant experience in issuing ship sanitation exemption, control and extension certificates for different types of vessels. ","Points of entry (PoEs) and border health","Ship sanitation","Member states/ MoH/WHO staff","WHO","EURO/WHE/CPI","schmidtt@who.int","English, Russian","In-person",,,,
"Development of a public health contingency plan for PoE","This workshop covers the development of a public health contingency plan for Points of Entry (PoE), focusing on preparedness, response strategies, and risk mitigation. Participants will learn how to design and implement effective plans to manage health emergencies and ensure compliance with international regulations.","Points of entry (PoEs) and border health","Contingency plan","Member states/ MoH/WHO staff","WHO","EURO/WHE/CPI","schmidtt@who.int","English, Russian","In-person",,,,
"Global competency standards for the provision of health services to refugees and migrants","This course equips health workers with essential competencies to provide inclusive, people-centred, and culturally sensitive health services to refugees and migrants. Grounded in WHO’s Global Competency Standards, it addresses communication, collaboration, evidence-informed practice, and personal conduct, helping learners navigate the challenges faced by displaced populations in accessing equitable care.","Health emergency preparedness and response management","Health and migration","Health workers & professional working with migrant health","WHO","HQ/PHM","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0125EN+2025_Q2",,
"Health Emergency Prevention, Preparedness, Response and Resilience (HEPR)","This asynchronous, self-paced course equips you with the tools and methodologies to support countries in developing evidence-based national plans for Health Emergency Prevention, Preparedness, Response, and Resilience (HEPR).","Health emergency preparedness and response management","HEPR","MoH/WHO/Consultants and other relevant National staff ","WHO","HQ/WHE","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0089EN+2025_Q1?source=edX",,
"RCCE-IM for CBRN Preparedness and Response","Focusing on preparing communities and Ministry teams on the hazards associated with CBRN and how to identify risk perceptions of key groups and respond accordingly. ","Risk communication and community engagement (RCCE)","CBRN","Member states/ MoH/WHO staff","WHO","EURO/WHE/RCI","claxtonn@who.int","English, Slovakian","Blended",,,,
"RCCE-IM for Mass Gatherings","Against the backdrop of understanding key health risk during planned Mass Gatherings, the course teaches Ministry teams and stakeholder groups in how to identify key risks for each event, gauge risk perceptions and share appropriate messaging with key community groups before and during the events. ","Risk communication and community engagement (RCCE)","Mass gatherings","Member states/ MoH/WHO staff","WHO","EURO/WHE/RCI","claxtonn@who.int","English","Blended",,,,
"Social Listening ","This course focused specifically on the skillsets within Social Listening as a means to gauge risk perceptions on key health topics. Participants are guided to conduct their own Social Listening exercises using low-resource tools.","Risk communication and community engagement (RCCE)","Social listening","Member states/ MoH/WHO communication staff","WHO","EURO/WHE/RCI","claxtonn@who.int","English","Blended",,,,
"RCCE-IM in Epidemiology and Outbreak Response","This course targets epidemiologists' unique role in outbreak investigations by teaching how to engage communities and gauge risk perceptions around key health issues and potential vectors.","Risk communication and community engagement (RCCE)","Outbreak Response","Epidemiologists","WHO","EURO/WHE/RCI","claxtonn@who.int","English, Russian","In-person",,,,
"RCCE-IM for Community Health Workers","This course targets paid and volunteer community health workers' unique role in communities to serve as a listening station for concerns and risk perceptions around health and how to effectively support and respond. ","Risk communication and community engagement (RCCE)","Community health","Community health workers","WHO","EURO/WHE/RCI",,"English","In-person",,,,
"Community Health Workers Promoting COVID-19 Vaccination","This course uses the tools of RCCE-IM to assess and influence communities that may be hesitant to immunizations, with a focus on COVID19","Risk communication and community engagement (RCCE)","Immunizations","Member states/ MoH/WHO staff","WHO","EMRO/WHE","claxtonn@who.int","English, Arabic","Online","Webpage","https://www.emro.who.int/courses/covid-19-vaccine/index.htm",,
"Effective Online Training","This course models and assess learners for effective use of online methodologies and assessments specific to content and audience to better ensure that learning objectives are effectively met.","Risk communication and community engagement (RCCE)","Online learning","Member states/ MoH/WHO staff","WHO","EURO/WHE/RCI","claxtonn@who.int","English, Arabic","Online",,,,
"Developing behaviour-based training curriculum","This course goes beyond teaching knowledge-based content and models behaviour-based strategies to improve the likelihood of skill transfer and behaviour and attitude modification around key competencies and capabilities.","Risk communication and community engagement (RCCE)","Training curriculum","Member states/ MoH/WHO staff","WHO","EURO/WHE/RCI","claxtonn@who.int","English","Online",,,,
"Supporting partners across the capacity-building continuum","This course shows the multiple steps and resources available to build capacity - with training events serving as the last resort.  The course strengthens how we see each person as a builder of capacity, going beyond structured and expensive training events.","Risk communication and community engagement (RCCE)","Training ","Member states/ MoH/WHO staff","WHO","EURO/WHE/RCI","claxtonn@who.int","English","Blended",,,,
"Developing behaviour-change-based messages","The construction of effective risk communication messaging is modeled and taught with multiple opportunities for learner trial with feedback loops. Learners learn how to assess risk communications messages for effectiveness including testing of messages and have the opportunity to develop their own messages within their context for feedback and revision.","Risk communication and community engagement (RCCE)","Risk communications","Member states/ MoH/WHO staff","WHO","EURO/WHE/RCI","claxtonn@who.int","English","Blended",,,,
"RCCE-IM in the university curricula in faculties of Medicine, Comms and Public Health","Learners are coached on how to assess existing curriculum within both communications and health for possible embedding of risk communications, community engagement and/or infodemic management knowledge, skills and behaviours to improve the quality of programming and increase the reach of WHO programming. ","Risk communication and community engagement (RCCE)","Integrating RCCE-IM","Member states/ MoH/WHO staff","WHO","EURO/WHE/RCI","claxtonn@who.int","English, Arabic","Blended",,,,
"Preventing rheumatic fever and rheumatic heart disease in the community","Using RCCE-IM principles, learners learn about RF and RHD while also the skills of communicating with people about the risks using scenario.","Risk communication and community engagement (RCCE)","Rheumatic fever","Member states/ MoH/WHO staff","WHO","EMRO/WHE","claxtonn@who.int","English, Arabic","Online","Webpage","https://www.emro.who.int/courses/preventing-rf-rhd/index.htm",,
"Open Source Fundamentals","This e-learning course is designed to help WHO teams and partners working with WHO understand Open-Source principles and best practices in the context of health emergency preparedness and response.","Digital health","Open source ","Product Owners/Project Leads, Software Developers and Project Managers","WHO","HQ/WHE/EII","pandemichub@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0068EN+2025_Q3?source=edX",,
"Outbreak investigations in health facilities","Outbreaks are unfortunate events that afflict both patients and staff as well as the cost of health care. In this course, you will learn how to identify and investigate outbreaks, the importance of communication, how to implement outbreak control measures, and how to identify lessons learned to inform and improve future health care delivery. ","Infection prevention and control (IPC) & safe environment in health facilities","Outbreak investigations","Infection prevention and control professionals, public health professionals","WHO","HQ/WHE/IPC","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0080EN+2025_Q1?from=discovery&source=edX",,
"Health systems for health security","This course aims to support the implementation of the WHO Health Systems for Health Security Framework and guide learners to bridge health systems and health security. It introduces the framework's key components and provides guidance and scenario-based exercises to bring HSforHS from concept to action. The online course is a self-paced interactive course with a webinar in module 2. The course is broken into two modules. Module 1 focuses on HSforHS-related knowledge dissemination, and Module 2 focuses on utilizing the knowledge gained in Module 1.","Health emergency preparedness and response management","Health security","Health emergencies management officials","WHO","HQ/WHE","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOA+0079_HS_EN+2024?from=discovery&source=edX",,
